,pair_id,Overall
0,1484189203_1484121193,3.5953731536865234
1,1484011097_1484011106,2.8262977600097656
2,1484039488_1484261803,3.747255802154541
3,1484332324_1484796748,2.950068712234497
4,1484012256_1484419682,3.4817705154418945
5,1484188974_1484299664,3.295961856842041
6,1484703270_1484167784,3.538419246673584
7,1484012638_1483801741,3.2148876190185547
8,1483805592_1484139101,2.7830047607421875
9,1484188851_1483820477,3.4028897285461426
10,1484188282_1484590384,3.2776377201080322
11,1484188158_1483926746,3.614314079284668
12,1484010864_1483950504,2.5227856636047363
13,1484188569_1484201230,3.583362340927124
14,1484188945_1484188562,2.5992252826690674
15,1484452733_1484215051,3.258129835128784
16,1484189001_1483933084,3.5072877407073975
17,1483737640_1484326372,3.2186636924743652
18,1484188930_1484152024,3.315350294113159
19,1484699049_1484327278,2.7123501300811768
20,1484191228_1483996933,1.395001769065857
21,1484190460_1483806119,2.614819288253784
22,1483801563_1484256518,3.683283805847168
23,1484039144_1484039153,1.8127965927124023
24,1485366264_1483775099,3.694993257522583
25,1484037432_1483909901,2.12931489944458
26,1599137604_1484130548,3.388012647628784
27,1484013325_1484306206,3.621751070022583
28,1484188414_1484207583,3.3117835521698
29,1484189678_1483977135,3.5516257286071777
30,1484009613_1483762075,3.631134033203125
31,1484033221_1483948522,3.373382568359375
32,1484034979_1483785560,3.3778066635131836
33,1484804406_1484809369,1.7248647212982178
34,1484189424_1483950282,3.2565784454345703
35,1484401805_1483962389,3.592752456665039
36,1484033308_1484206926,3.409348487854004
37,1484188965_1483876247,2.931684732437134
38,1484035283_1484029825,1.487142562866211
39,1484401456_1484073158,3.333010673522949
40,1484011767_1484041344,3.061210870742798
41,1484190302_1484113071,3.4825756549835205
42,1484013404_1484147362,3.215585231781006
43,1484191450_1484275802,3.3061118125915527
44,1484763304_1484720560,3.30318546295166
45,1483803584_1484221623,2.1471519470214844
46,1484013838_1484084603,3.1831228733062744
47,1484189278_1484233982,3.1551108360290527
48,1484702889_1484167784,3.1917004585266113
49,1484037143_1484201620,2.1035523414611816
50,1484010775_1483828218,2.9950573444366455
51,1483804064_1484350449,3.560770034790039
52,1484189651_1485410569,3.449312210083008
53,1483806302_1483770632,2.3620095252990723
54,1484011225_1484050855,3.110703468322754
55,1484007654_1483932672,1.3982758522033691
56,1484008955_1483900456,3.770918607711792
57,1484187941_1484074975,2.9544825553894043
58,1484006948_1484117411,1.825874924659729
59,1484190661_1485410569,3.2178096771240234
60,1484188832_1483936561,3.5126962661743164
61,1484010973_1492157938,3.0080604553222656
62,1484202408_1484046875,3.562335252761841
63,1483964349_1484064408,3.4811596870422363
64,1484205524_1484160345,3.5753719806671143
65,1484115617_1483987297,2.899256944656372
66,1484230421_1484172459,1.604567050933838
67,1484110355_1483785927,3.261345386505127
68,1484555898_1483899087,3.1348249912261963
69,1484117285_1484495724,2.8317837715148926
70,1484217199_1484256763,1.7094801664352417
71,1484210422_1484065438,1.3274881839752197
72,1483977017_1483987297,2.787569999694824
73,1484203139_1484272649,2.2352685928344727
74,1483745353_1484112368,3.565047025680542
75,1483932737_1484038322,3.448200225830078
76,1558606657_1559155831,3.3297646045684814
77,1558569640_1559155831,3.4444191455841064
78,1558575428_1559265563,2.14701771736145
79,1558591708_1558546582,3.7798357009887695
80,1558568326_1558765125,2.552616596221924
81,1558579210_1559296692,3.6674113273620605
82,1558575944_1558260621,1.3190298080444336
83,1558579533_1558256170,3.168424129486084
84,1558577267_1559995901,2.9117536544799805
85,1558576295_1558940406,2.6395998001098633
86,1558606663_1558163843,3.010396718978882
87,1558554675_1561307213,3.4314661026000977
88,1559243499_1561307213,3.5641109943389893
89,1558561634_1561307213,3.361873149871826
90,1558542958_1558731176,3.6041884422302246
91,1559198498_1561307213,3.712893009185791
92,1559243558_1561307213,3.5388851165771484
93,1558551731_1561307213,3.6220579147338867
94,1558542896_1561307213,3.610003709793091
95,1558542894_1561307213,3.468043327331543
96,1555949251_1553931407,3.2612900733947754
97,1498839345_1552623974,3.208893299102783
98,1500069470_1499936687,2.946089267730713
99,1559959067_1529952152,2.684819221496582
100,1498735717_1502409341,3.2576653957366943
101,1497426521_1552013041,3.37200927734375
102,1514668152_1514755280,2.4978256225585938
103,1491260698_1522758176,3.555750846862793
104,1499090284_1498367084,2.278256416320801
105,1517090369_1539022268,3.4488987922668457
106,1537499410_1513052490,3.333364248275757
107,1503261488_1501087493,3.0074660778045654
108,1519905832_1519229318,2.8080997467041016
109,1511073859_1519506254,1.7358853816986084
110,1579575481_1559122432,3.0627126693725586
111,1564673890_1564536521,3.154411792755127
112,1517717775_1528608110,3.4496958255767822
113,1564327182_1510627862,2.8005945682525635
114,1542269334_1600371047,2.942322015762329
115,1555775628_1553390793,2.609096050262451
116,1543901072_1547473916,2.335486650466919
117,1486492021_1486213074,2.9833433628082275
118,1503040793_1504994387,3.3151731491088867
119,1531413897_1524805227,1.5340726375579834
120,1580455801_1556085070,1.556527853012085
121,1492472369_1530831511,2.30295991897583
122,1490020331_1488499869,2.4799487590789795
123,1524449375_1522807720,2.64202880859375
124,1489951217_1489983888,1.3788621425628662
125,1560338530_1498189481,3.398733615875244
126,1505710139_1505806901,3.1358704566955566
127,1519707224_1518511192,1.9480619430541992
128,1551432131_1543195875,3.5236258506774902
129,1497055928_1535476650,3.1229372024536133
130,1506125866_1518961320,3.411959409713745
131,1494575333_1542493898,3.4105422496795654
132,1501517029_1511202234,3.2853338718414307
133,1510582150_1510471003,2.12634015083313
134,1546790297_1504564783,1.6427018642425537
135,1551767123_1503698837,3.290123224258423
